date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:03	55775/55775	---M--	200	added ('OK')	application/x-javascript	etag:%22d9df-5aabb2eb22136%22	http://themetrading.com/html/runaway/template/regular/js/bootstrap.min.js	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/js/bootstrap.min.js	(from http://themetrading.com/html/runaway/template/regular/index-6.html)
12:20:04	73233/73233	---M--	200	added ('OK')	image/jpeg	etag:%2211e11-5aabb3fbda322%22	http://themetrading.com/html/runaway/template/regular/images/portfolio/06.jpg	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/images/portfolio/06.jpg	(from http://themetrading.com/html/runaway/template/regular/index-6.html)
12:20:04	35796/35796	---M--	200	added ('OK')	image/jpeg	etag:%228bd4-5aabb37cfa734%22	http://themetrading.com/html/runaway/template/regular/images/blog/03.jpg	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/images/blog/03.jpg	(from http://themetrading.com/html/runaway/template/regular/index-6.html)
12:20:07	56979/56979	---M--	200	added ('OK')	image/jpeg	etag:%22de93-5aabb377d0a9a%22	http://themetrading.com/html/runaway/template/regular/images/blog/02.jpg	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/images/blog/02.jpg	(from http://themetrading.com/html/runaway/template/regular/index-6.html)
12:20:07	297046/297046	---M--	200	added ('OK')	application/x-javascript	etag:%2248856-5aabb2fcff8c1%22	http://themetrading.com/html/runaway/template/regular/js/plugins.js	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/js/plugins.js	(from http://themetrading.com/html/runaway/template/regular/index-6.html)
12:20:08	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-5aabb2d6083c5%22	http://themetrading.com/html/runaway/template/regular/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/fonts/fontawesome-webfont3e6e.html	(from http://themetrading.com/html/runaway/template/regular/css/font-awesome.min.css)
12:20:09	98024/98024	---M--	200	added ('OK')	text/html	etag:%2217ee8-5aabb2d1c0c73%22	http://themetrading.com/html/runaway/template/regular/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/fonts/fontawesome-webfont3e6e-2.html	(from http://themetrading.com/html/runaway/template/regular/css/font-awesome.min.css)
12:20:12	165548/165548	---M--	200	added ('OK')	text/html	etag:%22286ac-5aabb2ce9aa1b%22	http://themetrading.com/html/runaway/template/regular/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/fonts/fontawesome-webfont3e6e-3.html	(from http://themetrading.com/html/runaway/template/regular/css/font-awesome.min.css)
12:20:13	4270/4270	---M--	200	added ('OK')	text/html	etag:%2210ae-5aabb2bfecd12%22	http://themetrading.com/html/runaway/template/regular/fonts/Flaticon.eot	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/fonts/Flaticon.html	(from http://themetrading.com/html/runaway/template/regular/fonts/flaticon.css)
12:20:13	4270/4270	---M--	200	added ('OK')	text/html	etag:%2210ae-5aabb2bfecd12%22	http://themetrading.com/html/runaway/template/regular/fonts/Flaticon.eot?	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/fonts/Flaticond41d.html	(from http://themetrading.com/html/runaway/template/regular/fonts/flaticon.css)
12:20:14	4092/4092	---M--	200	added ('OK')	text/html	etag:%22ffc-5aabb2c69f6a8%22	http://themetrading.com/html/runaway/template/regular/fonts/Flaticon.ttf	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/fonts/Flaticon-2.html	(from http://themetrading.com/html/runaway/template/regular/fonts/flaticon.css)
12:20:15	16843/16843	---M--	200	added ('OK')	image/svg+xml	etag:%2241cb-5aabb2c473841%22	http://themetrading.com/html/runaway/template/regular/fonts/Flaticon.svg	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/fonts/Flaticon.svg	(from http://themetrading.com/html/runaway/template/regular/fonts/flaticon.css)
12:20:15	867/867	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jan%202020%2016:05:10%20GMT	http://themetrading.com/html/runaway/template/regular/css/owl.video.play.png	C:/My%20Web%20Sites/Rafnas/themetrading.com/html/runaway/template/regular/css/owl.video.play.38.delayed	(from http://themetrading.com/html/runaway/template/regular/css/plugins.css)
